Label,Cycle,FrameInCycle,Milliseconds,MemoryBytes,GCCollections,Timestamp
Managed + Burst,38,2,1.511,1483059200,0,2025-06-13 13:32:54
Managed + Burst,38,3,1.696,1504038912,0,2025-06-13 13:32:54
Managed + Burst,38,4,1.593,1525018624,0,2025-06-13 13:32:54
Managed + Burst,38,5,1.567,1545998336,0,2025-06-13 13:32:54
Managed + Burst,39,1,11.985,1449508864,1,2025-06-13 13:32:54
Managed + Burst,39,2,1.695,1470488576,0,2025-06-13 13:32:54
Managed + Burst,39,3,1.636,1491468288,0,2025-06-13 13:32:54
Managed + Burst,39,4,1.599,1512448000,0,2025-06-13 13:32:54
Managed + Burst,39,5,1.516,1533427712,0,2025-06-13 13:32:54
Managed + Burst,40,1,2.384,1554407424,0,2025-06-13 13:32:54
Managed + Burst,40,2,1.990,1575387136,0,2025-06-13 13:32:54
Managed + Burst,40,3,26.197,1596387328,0,2025-06-13 13:32:54
Managed + Burst,40,4,26.953,1617395712,0,2025-06-13 13:32:55
Managed + Burst,40,5,12.280,1487302656,1,2025-06-13 13:32:55
Managed + Burst,41,1,1.587,1508282368,0,2025-06-13 13:32:55
Managed + Burst,41,2,1.721,1529262080,0,2025-06-13 13:32:55
Managed + Burst,41,3,1.592,1550241792,0,2025-06-13 13:32:55
Managed + Burst,41,4,1.801,1571221504,0,2025-06-13 13:32:55
Managed + Burst,41,5,1.619,1592201216,0,2025-06-13 13:32:55
Managed + Burst,42,1,1.815,1613180928,0,2025-06-13 13:32:55
Managed + Burst,42,2,10.432,1516691456,1,2025-06-13 13:32:55
Managed + Burst,42,3,1.722,1537671168,0,2025-06-13 13:32:55
Managed + Burst,42,4,1.560,1558650880,0,2025-06-13 13:32:55
Managed + Burst,42,5,1.614,1579630592,0,2025-06-13 13:32:55
Managed + Burst,43,1,1.553,1600610304,0,2025-06-13 13:32:55
Managed + Burst,43,2,1.554,1621590016,0,2025-06-13 13:32:55
Managed + Burst,43,3,1.739,1642569728,0,2025-06-13 13:32:55
Managed + Burst,43,4,1.744,1663549440,0,2025-06-13 13:32:55
Managed + Burst,43,5,10.326,1550278656,1,2025-06-13 13:32:55
Managed + Burst,44,1,1.536,1571258368,0,2025-06-13 13:32:55
Managed + Burst,44,2,1.598,1592238080,0,2025-06-13 13:32:55
Managed + Burst,44,3,1.611,1613217792,0,2025-06-13 13:32:55
Managed + Burst,44,4,1.736,1634197504,0,2025-06-13 13:32:55
Managed + Burst,44,5,1.567,1655177216,0,2025-06-13 13:32:55
Managed + Burst,45,1,1.695,1676156928,0,2025-06-13 13:32:55
Managed + Burst,45,2,1.595,1697136640,0,2025-06-13 13:32:55
Managed + Burst,45,3,10.158,1583865856,1,2025-06-13 13:32:55
Managed + Burst,45,4,1.483,1604845568,0,2025-06-13 13:32:55
Managed + Burst,45,5,1.571,1625825280,0,2025-06-13 13:32:55
Managed + Burst,46,1,1.601,1646804992,0,2025-06-13 13:32:55
Managed + Burst,46,2,1.569,1667784704,0,2025-06-13 13:32:55
Managed + Burst,46,3,1.601,1688764416,0,2025-06-13 13:32:55
Managed + Burst,46,4,1.649,1709744128,0,2025-06-13 13:32:55
Managed + Burst,46,5,1.679,1730723840,0,2025-06-13 13:32:55
Managed + Burst,47,1,11.308,1617453056,1,2025-06-13 13:32:55
Managed + Burst,47,2,1.603,1638432768,0,2025-06-13 13:32:55
Managed + Burst,47,3,1.987,1659412480,0,2025-06-13 13:32:55
Managed + Burst,47,4,1.760,1680392192,0,2025-06-13 13:32:55
Managed + Burst,47,5,1.904,1701371904,0,2025-06-13 13:32:55
Managed + Burst,48,1,1.586,1722351616,0,2025-06-13 13:32:55
Managed + Burst,48,2,1.488,1743331328,0,2025-06-13 13:32:55
Managed + Burst,48,3,2.379,1764311040,0,2025-06-13 13:32:55
Managed + Burst,48,4,14.009,1651040256,1,2025-06-13 13:32:55
Managed + Burst,48,5,2.090,1672019968,0,2025-06-13 13:32:55
Managed + Burst,49,1,2.304,1692999680,0,2025-06-13 13:32:56
Managed + Burst,49,2,1.517,1713979392,0,2025-06-13 13:32:56
Managed + Burst,49,3,1.540,1734959104,0,2025-06-13 13:32:56
Managed + Burst,49,4,1.578,1755938816,0,2025-06-13 13:32:56
Managed + Burst,49,5,1.609,1776918528,0,2025-06-13 13:32:56
Managed + Burst,50,1,1.696,1797898240,0,2025-06-13 13:32:56
Managed + Burst,50,2,31.164,1818894336,0,2025-06-13 13:32:56
Managed + Burst,50,3,28.124,1839902720,0,2025-06-13 13:32:56
Managed + Burst,50,4,10.242,1693040640,1,2025-06-13 13:32:56
Managed + Burst,50,5,1.641,1714020352,0,2025-06-13 13:32:56
Managed + Burst,51,1,1.716,1735000064,0,2025-06-13 13:32:56
Managed + Burst,51,2,1.655,1755987968,0,2025-06-13 13:32:56
Managed + Burst,51,3,2.065,1776996352,0,2025-06-13 13:32:56
Managed + Burst,51,4,2.152,1797976064,0,2025-06-13 13:32:56
Managed + Burst,51,5,2.201,1818955776,0,2025-06-13 13:32:56
Managed + Burst,52,1,2.128,1839935488,0,2025-06-13 13:32:56
Managed + Burst,52,2,10.303,1726664704,1,2025-06-13 13:32:56
Managed + Burst,52,3,1.635,1747644416,0,2025-06-13 13:32:56
Managed + Burst,52,4,1.840,1768624128,0,2025-06-13 13:32:56
Managed + Burst,52,5,1.687,1789603840,0,2025-06-13 13:32:56
Managed + Burst,53,1,1.595,1810583552,0,2025-06-13 13:32:56
Managed + Burst,53,2,1.590,1831563264,0,2025-06-13 13:32:56
Managed + Burst,53,3,1.986,1852542976,0,2025-06-13 13:32:56
Managed + Burst,53,4,1.845,1873522688,0,2025-06-13 13:32:56
Managed + Burst,53,5,10.388,1760251904,1,2025-06-13 13:32:56
Managed + Burst,54,1,1.787,1781231616,0,2025-06-13 13:32:56
Managed + Burst,54,2,1.625,1802211328,0,2025-06-13 13:32:56
Managed + Burst,54,3,1.585,1823191040,0,2025-06-13 13:32:56
Managed + Burst,54,4,1.966,1844170752,0,2025-06-13 13:32:56
Managed + Burst,54,5,1.759,1865150464,0,2025-06-13 13:32:56
Managed + Burst,55,1,1.712,1886130176,0,2025-06-13 13:32:56
Managed + Burst,55,2,2.437,1907109888,0,2025-06-13 13:32:56
Managed + Burst,55,3,12.848,1793839104,1,2025-06-13 13:32:56
Managed + Burst,55,4,1.640,1814818816,0,2025-06-13 13:32:56
Managed + Burst,55,5,1.791,1835798528,0,2025-06-13 13:32:56
Managed + Burst,56,1,1.609,1856778240,0,2025-06-13 13:32:56
Managed + Burst,56,2,1.698,1877757952,0,2025-06-13 13:32:57
Managed + Burst,56,3,3.280,1898737664,0,2025-06-13 13:32:57
Managed + Burst,56,4,1.949,1919717376,0,2025-06-13 13:32:57
Managed + Burst,56,5,1.678,1940697088,0,2025-06-13 13:32:57
Managed + Burst,57,1,12.618,1827426304,1,2025-06-13 13:32:57
Managed + Burst,57,2,1.751,1848406016,0,2025-06-13 13:32:57
Managed + Burst,57,3,1.575,1869385728,0,2025-06-13 13:32:57
Managed + Burst,57,4,1.716,1890365440,0,2025-06-13 13:32:57
Managed + Burst,57,5,1.842,1911345152,0,2025-06-13 13:32:57
Managed + Burst,58,1,1.990,1932324864,0,2025-06-13 13:32:57
Managed + Burst,58,2,1.545,1953304576,0,2025-06-13 13:32:57
Managed + Burst,58,3,2.254,1974284288,0,2025-06-13 13:32:57
Managed + Burst,58,4,10.296,1861013504,1,2025-06-13 13:32:57
Managed + Burst,58,5,1.628,1881993216,0,2025-06-13 13:32:57
Managed + Burst,59,1,1.672,1902972928,0,2025-06-13 13:32:57
Managed + Burst,59,2,1.574,1923952640,0,2025-06-13 13:32:57
Managed + Burst,59,3,1.674,1944932352,0,2025-06-13 13:32:57
Managed + Burst,59,4,2.337,1965912064,0,2025-06-13 13:32:57
Managed + Burst,59,5,1.589,1986891776,0,2025-06-13 13:32:57
Managed + Burst,60,1,1.646,2007871488,0,2025-06-13 13:32:57
Managed + Burst,60,2,25.429,2028871680,0,2025-06-13 13:32:57
Managed + Burst,60,3,26.287,2049871872,0,2025-06-13 13:32:57
Managed + Burst,60,4,10.973,1902981120,1,2025-06-13 13:32:57
Managed + Burst,60,5,1.562,1923960832,0,2025-06-13 13:32:57
Managed + Burst,61,1,1.579,1944940544,0,2025-06-13 13:32:57
Managed + Burst,61,2,1.629,1965920256,0,2025-06-13 13:32:57
Managed + Burst,61,3,1.494,1986899968,0,2025-06-13 13:32:57
Managed + Burst,61,4,1.658,2007879680,0,2025-06-13 13:32:57
Managed + Burst,61,5,2.267,2028859392,0,2025-06-13 13:32:57
Managed + Burst,62,1,1.534,2049839104,0,2025-06-13 13:32:57
Managed + Burst,62,2,11.502,1953349632,1,2025-06-13 13:32:57
Managed + Burst,62,3,1.982,1974329344,0,2025-06-13 13:32:57
Managed + Burst,62,4,1.635,1995309056,0,2025-06-13 13:32:57
Managed + Burst,62,5,1.830,2016288768,0,2025-06-13 13:32:57
Managed + Burst,63,1,2.210,2037268480,0,2025-06-13 13:32:57
Managed + Burst,63,2,1.550,2058248192,0,2025-06-13 13:32:57
Managed + Burst,63,3,2.373,2079227904,0,2025-06-13 13:32:58
Managed + Burst,63,4,2.105,2100207616,0,2025-06-13 13:32:58
Managed + Burst,63,5,11.341,2003718144,1,2025-06-13 13:32:58
Managed + Burst,64,1,1.630,2024697856,0,2025-06-13 13:32:58
Managed + Burst,64,2,1.731,2045677568,0,2025-06-13 13:32:58
Managed + Burst,64,3,1.619,2066657280,0,2025-06-13 13:32:58
Managed + Burst,64,4,2.143,2087636992,0,2025-06-13 13:32:58
Managed + Burst,64,5,2.338,2108616704,0,2025-06-13 13:32:58
Managed + Burst,65,1,2.615,2129596416,0,2025-06-13 13:32:58
Managed + Burst,65,2,2.481,2150576128,0,2025-06-13 13:32:58
Managed + Burst,65,3,13.766,2054086656,1,2025-06-13 13:32:58
Managed + Burst,65,4,1.685,2075066368,0,2025-06-13 13:32:58
Managed + Burst,65,5,1.768,2096046080,0,2025-06-13 13:32:58
Managed + Burst,66,1,2.538,2117025792,0,2025-06-13 13:32:58
Managed + Burst,66,2,2.268,2138005504,0,2025-06-13 13:32:58
Managed + Burst,66,3,2.247,2158985216,0,2025-06-13 13:32:58
Managed + Burst,66,4,2.396,2179964928,0,2025-06-13 13:32:58
Managed + Burst,66,5,2.238,2200944640,0,2025-06-13 13:32:58
Managed + Burst,67,1,2.625,2221924352,0,2025-06-13 13:32:58
Managed + Burst,67,2,11.946,2091872256,1,2025-06-13 13:32:58
Managed + Burst,67,3,1.691,2112851968,0,2025-06-13 13:32:58
Managed + Burst,67,4,1.721,2133831680,0,2025-06-13 13:32:58
Managed + Burst,67,5,1.741,2154811392,0,2025-06-13 13:32:58
Managed + Burst,68,1,2.697,2175791104,0,2025-06-13 13:32:58
Managed + Burst,68,2,2.303,2196770816,0,2025-06-13 13:32:58
Managed + Burst,68,3,2.382,2217750528,0,2025-06-13 13:32:58
Managed + Burst,68,4,2.293,2238730240,0,2025-06-13 13:32:58
Managed + Burst,68,5,3.106,2259709952,0,2025-06-13 13:32:58
Managed + Burst,69,1,27.596,2280710144,0,2025-06-13 13:32:58
Managed + Burst,69,2,1.615,2083500032,0,2025-06-13 13:32:58
Managed + Burst,69,3,1.678,2104479744,0,2025-06-13 13:32:58
Managed + Burst,69,4,1.855,2125459456,0,2025-06-13 13:32:58
Managed + Burst,69,5,1.581,2146439168,0,2025-06-13 13:32:58
Managed + Burst,70,1,1.835,2167418880,0,2025-06-13 13:32:59
Managed + Burst,70,2,1.689,2188398592,0,2025-06-13 13:32:59
Managed + Burst,70,3,1.563,2209378304,0,2025-06-13 13:32:59
Managed + Burst,70,4,1.738,2230358016,0,2025-06-13 13:32:59
Managed + Burst,70,5,1.656,2251337728,0,2025-06-13 13:32:59
Managed + Burst,71,1,10.985,2121285632,1,2025-06-13 13:32:59
Managed + Burst,71,2,1.861,2142265344,0,2025-06-13 13:32:59
Managed + Burst,71,3,1.729,2163245056,0,2025-06-13 13:32:59
Managed + Burst,71,4,1.510,2184224768,0,2025-06-13 13:32:59
Managed + Burst,71,5,1.842,2205204480,0,2025-06-13 13:32:59
Managed + Burst,72,1,1.695,2226184192,0,2025-06-13 13:32:59
Managed + Burst,72,2,1.656,2247163904,0,2025-06-13 13:32:59
Managed + Burst,72,3,2.042,2268143616,0,2025-06-13 13:32:59
Managed + Burst,72,4,2.086,2289123328,0,2025-06-13 13:32:59
Managed + Burst,72,5,12.464,2159071232,1,2025-06-13 13:32:59
Managed + Burst,73,1,2.130,2180050944,0,2025-06-13 13:32:59
Managed + Burst,73,2,1.910,2201030656,0,2025-06-13 13:32:59
Managed + Burst,73,3,1.865,2222010368,0,2025-06-13 13:32:59
Managed + Burst,73,4,1.724,2242990080,0,2025-06-13 13:32:59
Managed + Burst,73,5,1.710,2263969792,0,2025-06-13 13:32:59
Managed + Burst,74,1,1.504,2284949504,0,2025-06-13 13:32:59
Managed + Burst,74,2,2.483,2305929216,0,2025-06-13 13:32:59
Managed + Burst,74,3,2.186,2326908928,0,2025-06-13 13:32:59
Managed + Burst,74,4,12.512,2196856832,1,2025-06-13 13:32:59
Managed + Burst,74,5,1.614,2217836544,0,2025-06-13 13:32:59
Managed + Burst,75,1,1.707,2238816256,0,2025-06-13 13:32:59
Managed + Burst,75,2,1.703,2259795968,0,2025-06-13 13:32:59
Managed + Burst,75,3,1.503,2280775680,0,2025-06-13 13:32:59
Managed + Burst,75,4,1.518,2301755392,0,2025-06-13 13:32:59
Managed + Burst,75,5,1.769,2322735104,0,2025-06-13 13:32:59
Managed + Burst,76,1,2.099,2343714816,0,2025-06-13 13:32:59
Managed + Burst,76,2,2.272,2364694528,0,2025-06-13 13:32:59
Managed + Burst,76,3,10.832,2234642432,1,2025-06-13 13:32:59
Managed + Burst,76,4,1.561,2255622144,0,2025-06-13 13:32:59
Managed + Burst,76,5,1.553,2276601856,0,2025-06-13 13:32:59
