Label,Cycle,FrameInCycle,Milliseconds,MemoryBytes,GCCollections,Timestamp
Arena + Burst,39,4,1.223,682131456,0,6/13/2025 13:13
Arena + Burst,39,5,1.186,682131456,0,6/13/2025 13:13
Arena + Burst,40,1,1.256,703111168,0,6/13/2025 13:13
Arena + Burst,40,2,1.164,703111168,0,6/13/2025 13:13
Arena + Burst,40,3,1.352,703111168,0,6/13/2025 13:13
Arena + Burst,40,4,1.165,703111168,0,6/13/2025 13:13
Arena + Burst,40,5,1.229,703111168,0,6/13/2025 13:13
Arena + Burst,41,1,1.151,598212608,0,6/13/2025 13:13
Arena + Burst,41,2,1.184,598212608,0,6/13/2025 13:13
Arena + Burst,41,3,1.106,598212608,0,6/13/2025 13:13
Arena + Burst,41,4,1.299,598212608,0,6/13/2025 13:13
Arena + Burst,41,5,1.307,598212608,0,6/13/2025 13:13
Arena + Burst,42,1,1.222,619192320,0,6/13/2025 13:13
Arena + Burst,42,2,1.176,619192320,0,6/13/2025 13:13
Arena + Burst,42,3,1.987,619192320,0,6/13/2025 13:13
Arena + Burst,42,4,1.13,619200512,0,6/13/2025 13:13
Arena + Burst,42,5,1.109,619200512,0,6/13/2025 13:13
Arena + Burst,43,1,1.299,640180224,0,6/13/2025 13:13
Arena + Burst,43,2,1.34,640180224,0,6/13/2025 13:13
Arena + Burst,43,3,1.141,640180224,0,6/13/2025 13:13
Arena + Burst,43,4,1.3,640180224,0,6/13/2025 13:13
Arena + Burst,43,5,1.389,640180224,0,6/13/2025 13:13
Arena + Burst,44,1,1.388,661159936,0,6/13/2025 13:13
Arena + Burst,44,2,1.195,661159936,0,6/13/2025 13:13
Arena + Burst,44,3,1.248,661159936,0,6/13/2025 13:13
Arena + Burst,44,4,1.206,661159936,0,6/13/2025 13:13
Arena + Burst,44,5,1.344,661159936,0,6/13/2025 13:13
Arena + Burst,45,1,1.204,682139648,0,6/13/2025 13:13
Arena + Burst,45,2,1.367,682139648,0,6/13/2025 13:13
Arena + Burst,45,3,1.233,682217472,0,6/13/2025 13:13
Arena + Burst,45,4,1.248,682217472,0,6/13/2025 13:13
Arena + Burst,45,5,1.392,682217472,0,6/13/2025 13:13
Arena + Burst,46,1,1.375,703197184,0,6/13/2025 13:13
Arena + Burst,46,2,1.172,703197184,0,6/13/2025 13:13
Arena + Burst,46,3,1.382,703197184,0,6/13/2025 13:13
Arena + Burst,46,4,1.114,703197184,0,6/13/2025 13:13
Arena + Burst,46,5,1.333,703197184,0,6/13/2025 13:13
Arena + Burst,47,1,1.267,602419200,0,6/13/2025 13:13
Arena + Burst,47,2,1.303,602419200,0,6/13/2025 13:13
Arena + Burst,47,3,1.174,602419200,0,6/13/2025 13:13
Arena + Burst,47,4,1.289,602419200,0,6/13/2025 13:13
Arena + Burst,47,5,1.231,602419200,0,6/13/2025 13:13
Arena + Burst,48,1,1.277,623415296,0,6/13/2025 13:13
Arena + Burst,48,2,1.17,623415296,0,6/13/2025 13:13
Arena + Burst,48,3,1.208,623415296,0,6/13/2025 13:13
Arena + Burst,48,4,1.181,623415296,0,6/13/2025 13:13
Arena + Burst,48,5,1.357,623415296,0,6/13/2025 13:13
Arena + Burst,49,1,1.275,644395008,0,6/13/2025 13:13
Arena + Burst,49,2,1.291,644395008,0,6/13/2025 13:13
Arena + Burst,49,3,1.184,644395008,0,6/13/2025 13:13
Arena + Burst,49,4,1.344,644395008,0,6/13/2025 13:13
Arena + Burst,49,5,1.173,644395008,0,6/13/2025 13:13
Arena + Burst,50,1,1.474,665374720,0,6/13/2025 13:13
Arena + Burst,50,2,1.157,665374720,0,6/13/2025 13:13
Arena + Burst,50,3,1.29,665374720,0,6/13/2025 13:13
Arena + Burst,50,4,1.52,665374720,0,6/13/2025 13:13
Arena + Burst,50,5,1.207,665374720,0,6/13/2025 13:13
Arena + Burst,51,1,1.284,686354432,0,6/13/2025 13:13
Arena + Burst,51,2,1.433,686354432,0,6/13/2025 13:13
Arena + Burst,51,3,1.33,686383104,0,6/13/2025 13:13
Arena + Burst,51,4,1.455,686383104,0,6/13/2025 13:13
Arena + Burst,51,5,1.352,686383104,0,6/13/2025 13:13
Arena + Burst,52,1,1.238,707362816,0,6/13/2025 13:13
Arena + Burst,52,2,1.451,707362816,0,6/13/2025 13:13
Arena + Burst,52,3,1.357,707362816,0,6/13/2025 13:13
Arena + Burst,52,4,1.506,707362816,0,6/13/2025 13:13
Arena + Burst,52,5,1.328,707366912,0,6/13/2025 13:13
Arena + Burst,53,1,1.26,728346624,0,6/13/2025 13:13
Arena + Burst,53,2,1.277,602447872,0,6/13/2025 13:13
Arena + Burst,53,3,1.233,602447872,0,6/13/2025 13:13
Arena + Burst,53,4,1.169,602447872,0,6/13/2025 13:13
Arena + Burst,53,5,1.501,602447872,0,6/13/2025 13:13
Arena + Burst,54,1,1.273,623427584,0,6/13/2025 13:13
Arena + Burst,54,2,1.195,623427584,0,6/13/2025 13:13
Arena + Burst,54,3,1.247,623427584,0,6/13/2025 13:13
Arena + Burst,54,4,1.216,623427584,0,6/13/2025 13:13
Arena + Burst,54,5,1.298,623427584,0,6/13/2025 13:13
Arena + Burst,55,1,1.233,644407296,0,6/13/2025 13:13
Arena + Burst,55,2,1.283,644407296,0,6/13/2025 13:13
Arena + Burst,55,3,1.345,644407296,0,6/13/2025 13:13
Arena + Burst,55,4,1.359,644407296,0,6/13/2025 13:13
Arena + Burst,55,5,1.193,644407296,0,6/13/2025 13:13
Arena + Burst,56,1,1.219,665387008,0,6/13/2025 13:13
Arena + Burst,56,2,1.166,665387008,0,6/13/2025 13:13
Arena + Burst,56,3,1.236,665387008,0,6/13/2025 13:13
Arena + Burst,56,4,1.161,665387008,0,6/13/2025 13:13
Arena + Burst,56,5,1.287,665387008,0,6/13/2025 13:13
Arena + Burst,57,1,1.348,686366720,0,6/13/2025 13:13
Arena + Burst,57,2,1.39,686366720,0,6/13/2025 13:13
Arena + Burst,57,3,1.323,686366720,0,6/13/2025 13:13
Arena + Burst,57,4,1.215,686366720,0,6/13/2025 13:13
Arena + Burst,57,5,1.194,686366720,0,6/13/2025 13:13
Arena + Burst,58,1,1.177,707346432,0,6/13/2025 13:13
Arena + Burst,58,2,1.273,707440640,0,6/13/2025 13:13
Arena + Burst,58,3,1.254,707440640,0,6/13/2025 13:13
Arena + Burst,58,4,1.212,707440640,0,6/13/2025 13:13
Arena + Burst,58,5,1.165,707440640,0,6/13/2025 13:13
Arena + Burst,59,1,1.194,728420352,0,6/13/2025 13:13
Arena + Burst,59,2,1.216,602447872,0,6/13/2025 13:13
Arena + Burst,59,3,1.337,602447872,0,6/13/2025 13:13
Arena + Burst,59,4,1.365,602447872,0,6/13/2025 13:13
Arena + Burst,59,5,1.201,602447872,0,6/13/2025 13:13
Arena + Burst,60,1,1.262,623427584,0,6/13/2025 13:13
Arena + Burst,60,2,1.221,623427584,0,6/13/2025 13:13
Arena + Burst,60,3,1.331,623427584,0,6/13/2025 13:13
Arena + Burst,60,4,1.118,623427584,0,6/13/2025 13:13
Arena + Burst,60,5,1.127,623427584,0,6/13/2025 13:13
Arena + Burst,61,1,1.212,644407296,0,6/13/2025 13:13
Arena + Burst,61,2,1.238,644407296,0,6/13/2025 13:13
Arena + Burst,61,3,1.283,644407296,0,6/13/2025 13:13
Arena + Burst,61,4,1.116,644407296,0,6/13/2025 13:13
Arena + Burst,61,5,1.177,644407296,0,6/13/2025 13:13
Arena + Burst,62,1,1.211,665387008,0,6/13/2025 13:13
Arena + Burst,62,2,1.204,665387008,0,6/13/2025 13:13
Arena + Burst,62,3,1.185,665387008,0,6/13/2025 13:13
Arena + Burst,62,4,1.231,665387008,0,6/13/2025 13:13
Arena + Burst,62,5,1.143,665387008,0,6/13/2025 13:13
Arena + Burst,63,1,1.174,686366720,0,6/13/2025 13:13
Arena + Burst,63,2,1.589,686366720,0,6/13/2025 13:13
Arena + Burst,63,3,1.186,686366720,0,6/13/2025 13:13
Arena + Burst,63,4,1.138,686366720,0,6/13/2025 13:13
Arena + Burst,63,5,1.245,686366720,0,6/13/2025 13:13
Arena + Burst,64,1,1.12,707346432,0,6/13/2025 13:13
Arena + Burst,64,2,1.143,707346432,0,6/13/2025 13:13
Arena + Burst,64,3,1.485,707346432,0,6/13/2025 13:13
Arena + Burst,64,4,1.129,707346432,0,6/13/2025 13:13
Arena + Burst,64,5,1.178,707346432,0,6/13/2025 13:13
Arena + Burst,65,1,1.161,728326144,0,6/13/2025 13:13
Arena + Burst,65,2,1.282,602447872,0,6/13/2025 13:13
Arena + Burst,65,3,1.245,602447872,0,6/13/2025 13:13
Arena + Burst,65,4,1.149,602447872,0,6/13/2025 13:13
Arena + Burst,65,5,1.209,602447872,0,6/13/2025 13:13
Arena + Burst,66,1,1.118,623427584,0,6/13/2025 13:13
Arena + Burst,66,2,1.204,623427584,0,6/13/2025 13:13
Arena + Burst,66,3,1.194,623427584,0,6/13/2025 13:13
Arena + Burst,66,4,1.122,623427584,0,6/13/2025 13:13
Arena + Burst,66,5,1.213,623427584,0,6/13/2025 13:13
Arena + Burst,67,1,1.324,644407296,0,6/13/2025 13:13
Arena + Burst,67,2,1.333,644407296,0,6/13/2025 13:13
Arena + Burst,67,3,1.134,644407296,0,6/13/2025 13:13
Arena + Burst,67,4,1.398,644407296,0,6/13/2025 13:13
Arena + Burst,67,5,1.184,644407296,0,6/13/2025 13:13
Arena + Burst,68,1,1.15,665387008,0,6/13/2025 13:13
Arena + Burst,68,2,1.265,665387008,0,6/13/2025 13:13
Arena + Burst,68,3,1.222,665387008,0,6/13/2025 13:13
Arena + Burst,68,4,1.2,665387008,0,6/13/2025 13:13
Arena + Burst,68,5,1.163,665387008,0,6/13/2025 13:13
Arena + Burst,69,1,1.118,686366720,0,6/13/2025 13:13
Arena + Burst,69,2,1.088,686366720,0,6/13/2025 13:13
Arena + Burst,69,3,1.307,686366720,0,6/13/2025 13:13
Arena + Burst,69,4,1.218,686366720,0,6/13/2025 13:13
Arena + Burst,69,5,1.197,686366720,0,6/13/2025 13:13
Arena + Burst,70,1,1.241,707346432,0,6/13/2025 13:13
Arena + Burst,70,2,1.349,707346432,0,6/13/2025 13:13
Arena + Burst,70,3,1.165,707346432,0,6/13/2025 13:13
Arena + Burst,70,4,1.175,707346432,0,6/13/2025 13:13
Arena + Burst,70,5,1.168,707346432,0,6/13/2025 13:13
Arena + Burst,71,1,1.269,602447872,0,6/13/2025 13:13
Arena + Burst,71,2,1.225,602447872,0,6/13/2025 13:13
Arena + Burst,71,3,1.247,602447872,0,6/13/2025 13:13
Arena + Burst,71,4,1.232,602447872,0,6/13/2025 13:13
Arena + Burst,71,5,1.21,602447872,0,6/13/2025 13:13
Arena + Burst,72,1,1.184,623427584,0,6/13/2025 13:13
Arena + Burst,72,2,1.111,623521792,0,6/13/2025 13:13
Arena + Burst,72,3,1.203,623521792,0,6/13/2025 13:13
Arena + Burst,72,4,1.125,623521792,0,6/13/2025 13:13
Arena + Burst,72,5,1.337,623521792,0,6/13/2025 13:13
Arena + Burst,73,1,1.219,644501504,0,6/13/2025 13:13
Arena + Burst,73,2,1.324,644501504,0,6/13/2025 13:13
Arena + Burst,73,3,1.194,644501504,0,6/13/2025 13:13
Arena + Burst,73,4,1.252,644501504,0,6/13/2025 13:13
Arena + Burst,73,5,1.115,644501504,0,6/13/2025 13:13
Arena + Burst,74,1,1.259,665481216,0,6/13/2025 13:13
Arena + Burst,74,2,1.35,665481216,0,6/13/2025 13:13
Arena + Burst,74,3,1.167,665481216,0,6/13/2025 13:13
Arena + Burst,74,4,1.295,665481216,0,6/13/2025 13:13
Arena + Burst,74,5,1.453,665481216,0,6/13/2025 13:13
Arena + Burst,75,1,1.285,686460928,0,6/13/2025 13:13
Arena + Burst,75,2,1.168,686460928,0,6/13/2025 13:13
Arena + Burst,75,3,1.331,686460928,0,6/13/2025 13:13
Arena + Burst,75,4,1.188,686460928,0,6/13/2025 13:13
Arena + Burst,75,5,1.329,686460928,0,6/13/2025 13:13
Arena + Burst,76,1,1.284,707440640,0,6/13/2025 13:13
Arena + Burst,76,2,1.367,707440640,0,6/13/2025 13:13
Arena + Burst,76,3,1.44,707440640,0,6/13/2025 13:13
Arena + Burst,76,4,1.249,707440640,0,6/13/2025 13:13
Arena + Burst,76,5,1.315,707440640,0,6/13/2025 13:13
Arena + Burst,77,1,1.151,728420352,0,6/13/2025 13:13
Arena + Burst,77,2,1.17,602447872,0,6/13/2025 13:13
Arena + Burst,77,3,1.144,602447872,0,6/13/2025 13:13
Arena + Burst,77,4,1.14,602447872,0,6/13/2025 13:13
Arena + Burst,77,5,1.094,602447872,0,6/13/2025 13:13
Arena + Burst,78,1,1.284,623427584,0,6/13/2025 13:13
Arena + Burst,78,2,1.205,623427584,0,6/13/2025 13:13
Arena + Burst,78,3,1.079,623427584,0,6/13/2025 13:13
Arena + Burst,78,4,1.11,623427584,0,6/13/2025 13:13
Arena + Burst,78,5,1.245,623427584,0,6/13/2025 13:13
Arena + Burst,79,1,1.212,644407296,0,6/13/2025 13:13
Arena + Burst,79,2,1.116,644407296,0,6/13/2025 13:13
Arena + Burst,79,3,1.145,644407296,0,6/13/2025 13:13
Arena + Burst,79,4,1.137,644407296,0,6/13/2025 13:13
Arena + Burst,79,5,1.122,644407296,0,6/13/2025 13:13
Arena + Burst,80,1,1.129,665387008,0,6/13/2025 13:13
Arena + Burst,80,2,1.148,665387008,0,6/13/2025 13:13
Arena + Burst,80,3,1.163,665387008,0,6/13/2025 13:13
Arena + Burst,80,4,1.139,665387008,0,6/13/2025 13:13
Arena + Burst,80,5,1.129,665387008,0,6/13/2025 13:13
Arena + Burst,81,1,1.184,686366720,0,6/13/2025 13:13
Arena + Burst,81,2,1.282,686366720,0,6/13/2025 13:13
Arena + Burst,81,3,1.238,686366720,0,6/13/2025 13:13
Arena + Burst,81,4,1.248,686366720,0,6/13/2025 13:13
Arena + Burst,81,5,1.275,686366720,0,6/13/2025 13:13
Arena + Burst,82,1,1.682,707346432,0,6/13/2025 13:13
Arena + Burst,82,2,1.263,707346432,0,6/13/2025 13:13
Arena + Burst,82,3,1.254,707346432,0,6/13/2025 13:13
Arena + Burst,82,4,1.168,707346432,0,6/13/2025 13:13
Arena + Burst,82,5,1.348,707346432,0,6/13/2025 13:13
Arena + Burst,83,1,1.163,602447872,0,6/13/2025 13:13
Arena + Burst,83,2,1.117,602447872,0,6/13/2025 13:13
